source_lane,target_lane
239840598#1_1,239840598#2_1
:2476245959_0_0,239840598#3_0
:6262985485_4_0,385516196#2_0
:2476245926_0_0,239840598#2_0
239840582#4_1,239840582#5_1
1120309067#1_0,-668797933#3_0
:2476246211_0_0,1384237791#0_0
1384237792#2_0,1384237791#0_0
668797933#2_0,1120309069_0
:9497586622_4_0,1120309069_0
:2476246085_0_1,239840582#5_1
-1030313018#2_0,-1030313018#1_0
-1030313018#2_0,1030313018#2_0
239840582#7_0,239840582#8_0
239840582#0_1,239840582#1_1
239840582#5_0,239840582#6_0
:10246039763_0_0,239840582#8_0
:10246013491_0_0,239840578#2_0
239840578#0_0,239840578#1_0
:6275860130_1_0,239840578#1_0
239840598#2_1,239840598#3_1
:11166622011_0_1,239840582#7_1
1104946383_0,239840598#1_0
:10246048625_0_0,1120309067#0_0
:2476246215_0_0,1384237792#2_0
:2476246215_4_1,1384237792#2_1
239840582#4_0,239840582#5_0
239840582#7_1,239840582#8_1
1030313018#2_0,-1030313018#2_0
239840582#6_0,239840582#7_0
239840582#9_1,239840582#10_1
:2476246209_0_1,1384237791#1_1
239840582#11_0,239840582#12_0
1196367116#1_0,-1120309070_0
239840582#0_0,239840582#1_0
:9497586620_1_0,1030313018#0_0
1030313018#0_0,1030313018#1_0
:2476246215_4_0,1384237792#2_0
239840582#15_0,1483380745_0
239840598#3_1,385516196#0_0
:9497586648_3_0,-1030313018#1_0
:12578134701_1_1,239840582#10_1
385516196#1_0,385516196#2_0
385516196#1_0,668797933#1_0
-385516208_0,1120309067#0_0
:2476245959_0_1,239840598#3_1
1030313018#1_0,1030313018#2_0
1030313018#1_0,-1030313018#1_0
:11101610387_1_0,1196367116#0_0
:11207258660_0_0,1196367116#1_0
1384237791#1_1,239840582#0_0
1384237791#1_1,239840582#0_1
:2476245963_2_0,385516196#0_0
:12894349749_0_0,385516196#1_0
239840582#10_0,239840582#11_0
:11445745360_0_0,1104946383_0
:12353849208_0_0,239840582#12_0
:2476246085_0_0,239840582#5_0
:12353849216_0_0,239840582#11_0
:10246507106_10_0,1120309067#1_0
:6262985485_5_0,668797933#1_0
239840582#1_0,239840582#2_0
:6262985485_7_0,385516196#2_0
1384237792#2_1,1384237791#0_1
239840578#1_0,239840578#2_0
:2476245940_2_0,239840598#1_0
:5741168951_0_0,239840582#3_0
:5741168953_0_1,239840582#4_1
:9497586619_0_0,-1030313018#2_0
668797933#1_0,668797933#2_0
668797933#1_0,-668797933#1_0
:9497586620_0_0,385516196#3_0
:9497586648_2_0,-1030313018#1_0
239840582#1_1,239840582#2_1
:12353849216_0_1,239840582#11_1
-1120256834_0,-668797933#1_0
-1120256834_0,668797933#2_0
1196685950_0,1030313018#2_0
1196685950_0,-1030313018#1_0
239840578#0_1,239840578#1_1
:2476245926_0_1,239840598#2_1
1120309067#0_0,-1120256834_0
1120309067#0_0,1120309067#1_0
239840582#14_1,239840582#15_1
239840598#1_0,239840598#2_0
:10246530017_0_0,1030313018#1_0
-668797933#1_0,385516196#2_0
-668797933#1_0,668797933#1_0
:9497582356_4_0,1196685950_0
1196367116#0_0,1196367116#1_0
:6261106085_1_0,239840582#14_0
239840582#5_1,239840582#6_1
239840582#12_0,239840582#13_0
1483380745_0,1104946383_0
:10246039731_0_1,239840582#15_1
:5741168951_0_1,239840582#3_1
:12894349749_1_0,-385516208_0
239840582#13_1,239840582#14_1
239840582#3_0,239840582#4_0
:10246048626_0_0,668797933#2_0
:6275860130_1_1,239840578#1_1
:9497582388_3_0,-668797933#3_0
239840582#14_0,239840582#15_0
239840582#9_0,239840582#10_0
:11445745359_0_1,1483380745_1
239840578#2_0,1384237792#2_0
385516196#0_0,385516196#1_0
385516196#0_0,-385516208_0
:9497586648_7_0,-1030313018#1_0
239840582#8_1,239840582#9_1
:5424020034_0_1,239840582#2_1
:10246039761_0_0,239840582#9_0
:10246507106_3_0,-1120256834_0
:9497586648_1_0,1030313018#2_0
:9497586648_9_0,-1030313018#1_0
:10246039759_0_1,239840582#6_1
239840582#15_1,1483380745_1
1120309069_0,1030313018#1_0
239840582#6_1,239840582#7_1
:2476246209_0_0,1384237791#1_0
:2476246064_0_1,239840582#13_1
385516196#3_0,1196367116#0_0
239840582#2_0,239840582#3_0
:5741168953_0_0,239840582#4_0
239840582#10_1,239840582#11_1
1384237791#0_0,1384237791#1_0
239840598#2_0,239840598#3_0
:10246530017_4_0,1030313018#1_0
:10246013491_0_1,239840578#2_1
:10246039759_0_0,239840582#6_0
239840582#8_0,239840582#9_0
:5424020034_0_0,239840582#2_0
:12578134701_1_0,239840582#10_0
-1030313018#1_0,1030313018#1_0
:6248870311_1_1,239840582#1_1
-1120309070_0,1196685950_0
:10246039731_0_0,239840582#15_0
:6248870311_1_0,239840582#1_0
239840582#13_0,239840582#14_0
1104946383_1,239840598#1_1
:11445745360_0_1,1104946383_1
:2476245940_2_1,239840598#1_1
-668797933#3_0,1120309069_0
239840582#2_1,239840582#3_1
:2476246064_0_0,239840582#13_0
239840578#2_1,1384237792#2_1
385516196#2_0,385516196#3_0
385516196#2_0,1030313018#0_0
:2476246207_2_0,239840582#0_0
:10246048626_3_0,-668797933#1_0
:2476246211_0_1,1384237791#0_1
:11445745359_0_0,1483380745_0
239840582#3_1,239840582#4_1
:10246507106_4_0,1120309067#1_0
:2476246215_0_1,1384237792#2_1
:6261106085_1_1,239840582#14_1
:10246039763_0_1,239840582#8_1
:10246039761_0_1,239840582#9_1
1483380745_1,1104946383_1
239840578#1_1,239840578#2_1
:9497586622_0_0,1120309069_0
1384237791#0_1,1384237791#1_1
:10246530022_0_0,-1120309070_0
:11166622011_0_0,239840582#7_0
